ID,Text,Label
60,HND PORKET DI NA AKO NAG SISIMBA SEVENTH DAY ADVENTIST NA? PANGIT DN KASE NG MGA UGALI NYO MGA TANGA..,1
61,hahaha! Kadiri yang mga batang yan! Totoo naman sinabi ko :) funny ka kasi indian! Wala na kaming makikitang maitim! :),1
62,"Ang sarap ng ice cream, paborito ko 'tong flavor.",0
63,MuKha mo mukhang kabayo magsama kayo ni quiboloy parehong tangaðŸ˜‚ðŸ˜‚,1
64,Iniissue yung suso ko atleast to firm e suso mo teh pahaba na ipit yung cleavage ulol isa pa ulol,1
65,"Patakip-takip ka pa ng dibdib eh FLAT naman, huwag ambisyosa teh.",1
66,"Salamat sa pag-alala mo sa akin, napakabuti mo.",0
67,May ate ka? *Oo feeling maganda sulid mang-utos kala mo reyna mukha namang gurilya.,1
68,Ang pangit mo pa! Ang taba mo pa! Ang bobo mo pa! Jusskooo!!!,1
69,ew r u a kapre now or arabo like its so kadiri,1
70,"Ang sipag niyo po mag-overtime, pahinga din minsan.",0
71,"Ang sipag mong mag-ehersisyo, nakaka-inspire ka.",0
72,"Ang lakas ng tiwala mo sa sarili, admirable.",0
73,"Ang bango ng kape mo, sarap humigop.",0
74,"Ang sarap ng tulog ko kagabi, mahimbing talaga.",0
75,"Nag-bake ako ng cake kagabi, gusto mo tikman?",0
76,Hoy putang ina mong gago ka! Mga tulad mong iglesia ni kulapu ang pupuntang impyerno ULOL! Pagmumuka mo mukang tumor ng aso,1
77,ULUL TANG INA MO NEGRO KA GAGO. MAMATAY KA NA. NAWALA 2k ko sayo TANG INA MO,1
78,EWW KADIRI MUKA PANG UNGGOYâ€ IGOROT LOVER,1
79,ang kapal mo hindi ako nognog. Sapakin kita eh.,1
80,Kung makakilos kala mo austistic amputa,1
81,"Naku, traffic na naman papunta sa work.",0
82,Sana magkahiv yung pwet mong malanding bakla ew,1
83,GRABE KANG ABM NO. 11 NA PLAYER KANINA NG BBALL WALA AKONG PAKE KUNG MAGALING KA PUNYETA KA AMBAHO BAHO MO NAMAN NAPAKAYABANG MO. NAKITA NANG NAKAKAAPAK NG SAPATOS DIMAN LANG MAG SORRY. POGO KA PUNYETA NAPAKA YABANG,1
84,"No worries, I totally get where you're coming from.",0
85,Di ako papatol sa matabang homophobic na panget marites boomer aka boobsie. Tanginamo pakyu,1
86,sabi nung paring ulol pangit daw ang naratibo ng nutribun kaya masama ito,1
87,"Call mo ako if needed, I'm available anytime.",0
88,TANGINA MONG MUKHANG RABBIT AND MUKHANG BLOATED NA FROG NA MAPANLINLANG NA UNGGOY NA MABAHO.,1
89,"Tulungan kita sa research paper mo, ano topic?",0
90,"Pwede bang ulitin natin ang game na 'yan, nakakatuwa!",0
91,"PUTANG INA NG DATING DAAN AMPUTA MADALING ARAW NA E NAGPAPATUGTOG PARIN ANG MGA PUTANG INA MANAHIMIK NGA KAYO MGA GAGO, TANG INA.",1
92,and dudugyot ng mga Igorot!,1
93,"hoy lucy, your pussy stinks walang kakantot sa pepe ko kasi malibag at mabaho!!!! aamagin yang pepe mo hanggang sa mabulok at mategibelz ka kingina mo POKPOK KA MALANDING BITCHESA",1
94,"Ang daming naglalaro ngayon, sikat na sikat ang game.",0
95,"Ang daming workloads, pero kaya nating tapusin 'yan!",0
96,sosyal sa labas tan skin tawag tas pag uwi nognog. hustisya amputa. taba mo pa lalo!,1
97,EW LIKE YUCKKK MUKA KA NA NGANG AETA ANLAKI LAKI PA NG LABI MO. DI MAGANDANG TIGNAN KADIRE.. EWWWW,1
98,Tangina hugas kamay ang mga gaguuuuuu ang hirap maging pinoy ughhh. Tapos wheelchair era si tanda ihhh gaguhan era it is patuloy mo lang pagiging lumpo,1
99,Natutuwa ako sa mga sinabi mo sa akin.,0
100,You're the best! Sobrang thankful ako sayo.,0
101,Ang witty mo! Ang bilis ng pick up mo.,0
102,"Ang sipag mong mag-aral, lodi, keep it up.",0
103,Heterophobia putanginang yan pinakabobong narinig ko sa mga bobong born again tangina niyong mga born again kayo mga bobo putangina niyong lahat,1
104,"Sa fb koryano, sa personal africano, pag nilapitan mo amoy arabo.",1
105,Grabe may mga tao palang katulad mo!!! Napaka bobo di nag iisip sarili mo lang iniisip mo tanga!! Bobo!! ANG PANGIT MO NA NGA ANG PANGET PA NG UGALI MO BOBO KANG TANGINAMO BAHALA NA KARMA SAYO!!!!,1
106,Ikaw ata walang kwenta. Bulag pipi at bingi,1
107,bobo ka na pari niluluto yan sa lunch counter ng mga public school kupal ipinamimigay yan tuwing recess ng hapon leader ako noon sa room kaya ako ang taga kuha submit sa lunch counter yung present during that time at tatawagin kapag ready na saan ka ba nagaral noon sa gay bar,1
108,Kailangan natin ng bagong diskarte para sa sales target.,0
109,alam mo ang taba taba at bobo mo yun langðŸ˜‚ hahahhaa jk hu u pala? hahhaha boring ka noh? hahhaha,1
110,"Ang linaw ng tubig, ang sarap tingnan, swimming na!",0
111,"Ingat ka sa biyahe pauwi, safe travels always.",0
112,"Ang dami mong alam, galing, saan mo natutunan?",0
113,"mga badjao, papangit niyo kasi lahat kayo kadiri",1
114,"My bad, di ko talaga napansin 'yung message mo.",0
115,"Ang sarap ng tawa mo, nakakahawa, ang saya!",0
116,"Ang galing mong magluto, patikim naman kami diyan!",0
117,pakyu mukha kang tae sa inidoro,1
118,"Ang galing ng presentation mo kanina, very informative.",0
119,Niyaya ako ng kaibigan ko na manood ng sine.,0
120,Kuya:tangna ang itim mo gago M:wow gagi ikaw din k: kadiri ang itim natin negro igorot HAHAHAHHAA,1
121,Nakuha mo ba ang sagot sa number five sa test?,0
122,"Take care always, guys, ingat sa lahat.",0
123,"Completed na po ang report na 'yan, pinasa ko na.",0
124,"Tara, celebrate tayo after work, my treat!",0
125,kagigil ka be kala mo naman ang ganda mo ulol sana sumami yang tigyawat mo hanggang sa pumanget ka lalo ðŸŒµ,1
126,Ang puta kasi ni Sandr0 Marc0z eh. isa ring fuccboi ang puta na ginamit ang mukha niya sa pamumulitika. Maputi ka lang naman ulol,1
127,"Ang daming tao, kaya medyo matagal kami.",0
128,"Ang galing mo magluto, patikim naman ng specialty mo!",0
129,Muka talagang Badjao si Kris. Hahaha. Kadiri!,1
130,pakyu mukha kang betlog ðŸ–•,1
131,"Ang sipag mong mag-ayos, ang dami mong ginawa.",0
132,"Puwede bang mag-lunch break na tayo, gutom na ako?",0
133,Practice pa ako nang husto para gumaling sa laro.,0
134,"tangina talaga ng mga straight na feeling nila lahat ng taong hindi straight bet sila... una sa lahat ang panget mo, panget pa ugali mo, mas gwapo ako sayo, wala kang sense kausap. bottomline: ew.",1
135,immature ang puta napakapanget mo na nga panget pa ng ugali mo,1
136,si AETA hahaahha kapal nya magsama sama silang mukang paa,1
137,ULOL! ANG TABA MO! PAKAMATAY KA SA PAG PAPAPAYAT DYAN,1
138,HAHAHHAHA GAGO TONG NEGRO SA HR DI RAW AKO MAKITA HUY MAS DI KITA MAKITA,1
139,"Ang dami ng emails ko ngayon, di ko na kayang basahin.",0
140,"Ang babaeng tulad mo walang utak,Sbi mama mo.sabi mama mo dapat di ka na inanak kasi bobo ka naman..Kya Pala Hindi ka mahal ng mama mo kasi panget ka i mean ugali mo..Sabi mama mo",1
141,Ang dami kong natutunan sa discussion natin kanina.,0
142,"Ang linis ng sapatos mo, parang bago lang.",0
143,ANG BAHO NG MGA CHEKWA PUTANGINA,1
144,"Ang bilis ng oras, grabe, magdidilim na pala.",0
145,Ano kaya ang ulam natin para sa hapunan mamaya?,0
146,TANGINA NG BABAENG NAKASALUBONG KO SOBRANG BAHO AMOY NABUBULOK NA LAMAN POTA UMAYOS KAYO,1
147,MYGAD MAY EPALERKS NANAMAN !! GIRL SAKA KA NA UMEPAL PAG MAGANDA KA NA HINDI YANG MAPUTI KA LANG AT MAY BOYFRIEND KALA MO DYOSA KA NA ULOL ðŸ˜,1
148,"Ang sarap humiga sa kama ngayon, pahinga muna.",0
149,"TBH, ang pangit mo talaga, ang sama pa nang ugali mo, ang taba mo at higit sa lahat ang bobo mo",1
150,May meeting po ba tayo ngayong hapon sa conference room?,0
151,INUTIL TANGA BOBO!! LAHAT NG TALINO NAPUNTA SA SUSO!!!,1
152,"Ang ganda ng view mula sa itaas, ang lawak.",0
153,"Goals ko rin talaga 'yan sa future, sana makuha.",0
154,"wala bang magsasaway o kukupkop man lang sa mga badjao dyan sa kalayaan? hello dswd??? sorry not sorry pero nung dumami sila, sobrang bumaho sa street?",1
155,tangina pasikat negra naman landi amputa nognog,1
156,"Iglesia Ni Kristo, Quiboloy, And El Shadog, cannot support their endorsements to Bobo Magnanakaw, and SArA with Biblical basis. But when they speak with non members they always quote twisted Bible verses to deceive people's mind. Mga tangang feeling magaling at matalino talaga tao dyan",1
157,TANGINA MONGHE KA? SAMBA SAMBA KA DYAN MUKA KA NAMANG SI BUDDHA,1
158,Seryoso ka dyan? Di ako makapaniwala sa balita.,0
159,ang lakas mang dogshow pakyu mukha kang shokoy,1
160,Gago ang pangit nyo talaga kayong matatanda na walang pagkatandaan. Boomer energy ampota,1
161,"Nakaka-inspire ka, idol! Paano mo ginagawa 'yan?",0
162,Sana magtagumpay ka sa bago mong negosyo.,0
163,"Ang lakas ng ulan, baka bumaha na sa kalsada.",0
164,"Salamat sa pagbisita sa akin, na-appreciate ko.",0
165,"Ang ganda ng simoy ng hangin sa gabi, ang lamig.",0
166,Paki-send naman ng full details para ma-review ko.,0
167,"Ang talino mo talaga, lodi, bilib ako sa utak mo!",0
168,Yan ang tunay n mukha ngkakalat na low class.maiitim.at ampapangit kadiri mga bicolano/bicolana.kau na bala jan.,1
169,Pinagsasabe nyang unggoy na Quiboloy na yan?? Sino ba yan? Tangina ang panget at ang asim naman ng pagmumukha tanginaâ€‹ bobo ampota!!,1
170,BITCH GO BACK TO UR COUNTRY MONGOLOID KA ANG PANGIT MO,1
171,kanina may nakasalubong ako sa elevator mabaho ughhhhhhhhh. amoy putok ng bumbay + dying animals. natrauma na ako sa elevator,1
172,"Ang cute ng alaga mong pusa, ang lambing talaga.",0
173,May memo po ba tayong natanggap galing sa management?,0
174,skusta clee feeling pogi panget mo tanga,1
175,Talaga? After niya pagsabihan na putangina sa mga katoliko at may All Souls Day at All Saints Day pa daw na nalalaman??? ULOL na presidente,1
176,Racist ba kung i describe na ang squammy ng mga Chinese sa restaurants? Kaloka itong kasabay namin sa isang steakhouse. Ang dudugyot. Klk,1
177,"May nakita ako kaninang naka-pink na bag na NEGRO, este LIBAGIN. Yabang ng mukha sarap sapakin.",1
178,Proud na proud ako sa mga achievements mo.,0
179,"Agree ako dyan, that's definitely the best option.",0
180,"Tara, chill lang tayo sa favorite coffee shop.",0
181,Ang papangit naman ng Mga my boy nyoo sa myday,1
182,Bakit kaya ang pangit ng mga lalake sa totoong buhay.,1
183,fuck you and your twisted beliefs. mas genuine pa yung sympathy ng chaplain sa evangelical church ng tabak putangina niyo,1
184,"Tara, kain na sa labas, libre ko na 'to.",0
185,Tameme ang Baklang Butanding Roque napakabobo kasi ng argumento mo taba,1
186,"hehe bago mag tapos ang 2019, isang malutong na tangina mo pakyu gago hayup kang tangina kang pangit mo. para sa mga kaibigan kong peke, nambackstab sakin, sa mga nanakit sakin, sa may ayaw sakin papapapapapakyu kayong lahat",1
187,Naiintindihan ko ang nararamdaman mo ngayon.,0
188,"Ay, totoo ba 'yan? Parang di ako updated dyan.",0
189,"Laban lang, konti nalang, malapit na tayo matapos.",0
190,oo na madaming nagkakagusto sayo pero hindi dahil maganda ka.. alam mo rason? dahil malaki suso mo tang,1
191,Anong planong gala mo sa darating na weekend?,0
192,So true! Relate much ako sa sinabi mo.,0
193,"Ang dami kong natutunan ngayon sa klase, productive.",0
194,"MAHIYA KA NAMAN SA MUKHA MO. LA KONG PAKI KUNG IGLESIA KA TANGINA WALANG KATUTURAN PARIN MGA SINASABI MO. BOBO KA, BOBO RIN MGA KAKULTO MO",1
195,Pogi ka nman tlga pandak at mukhang aeta nga lng,1
196,bakit ba feeling lagi ng mga straight na lalake na uhaw na uhaw sa kanila mga bading???? tangina ðŸ˜­ ni-simpleng mag sabon nga lang ng mukha di niyo magawa pero ang yayabang niyo please lang ðŸ˜­ðŸ˜­ðŸ˜­,1
197,"MUKHANG LALAKE! ANDROGYNOUS! pro atleast ikaw mejo makinis naman. eh si aeta este, mukang baaaaaaakla!!!!",1
198,Ang galing ng pagkaka-edit ng picture na 'yan.,0
199,Puro boka mga mar-e kesyo prioritize daw silaðŸ˜‚ ano kayo mga special child? Mga abnoy ba kayo? Para bigyan kayo ng special treatment? p,1
200,TANGINA YUNG SA AJHS NA YUN Puta talaga ang liit mo pero gago ang liit din ng utak mo!,1
201,"Sana okay ka lang diyan, may maitutulong ba ako?",0
202,"Stay safe and healthy, especially these days.",0
203,kung 'di ka lang din naman bobo kita mong pinatatahimik ko kasi nga magvvr ako ta's ganiyan sasabihin mo kesyo magiging pipi na naman kayo kasi 'di kayo makakapagsalita???? putangina pwedeng manahimik kahit saglit na saglit lang???? kakabatrip amputa tanda mo na ganiyan ka pa rin,1
204,"Last life na lang, kaya pa 'yan, huwag susuko.",0
205,"Noong isang linggo, nagpunta kami sa Tagaytay, ang ganda.",0
206,Maraming salamat po sa tulong ninyo sa akin kahapon.,0
207,"Ang tahimik ng gabi, perfect sa pagpapahinga.",0
208,Naiirita ko sa itsura ng gaga. Kamukhang kamukha niya yung bully ko nung highschool. HAHAHAHAHA. Yung mukhang mabait at kalma pero demonyo.,1
209,"kadiri sa feeling educated sa fb tapos kunwari palaging tama,, bugok, panget ka na nga, kinulang ka pa sa height, asim mo pa!",1
210,Cheers to that! I'm happy for your success.,0
211,"Pwede pa-confirm ang sched natin for tomorrow, please?",0
212,17 yung nagpost that's fine to be a virgin. Yung totoong pussy dito yung mga autistic na parating feeling malibog at makipagsex para mapatunayan pagkalalake nila mga feeling insecure,1
213,LUMAYO LAYO KA SAKIN ANG BAHO NG HININGA MO BOBO KA TANGINA KA,1
214,"maputi lang daw ako, ulol maitim ka lang",1
215,hahahahhaha moreno hahahaha ayoko ng nognog kadiri,1
216,Anong nililipad mo dyan PUTANGINA KANG SIRAULO KANG MONGOLOID PILOT KA DYAN SA AIRPORT?!! ILANG BESES KO BANG SASABIHIN NA HINDI AKO INTERESTED NA MAGTRABAHO SA AIRPORT MO OR SA RESTAURANT MO PUTANGINA MO KAYA GAWIN MONG REACHABLE ANG LAHAT NG WEBSITES FOR ME NG 24/7 TANGINA KA!!,1
217,Tanginang arabo to nanapak yung amoy kala mo nabubulok na sibuyas amp,1
218,Ang galing mo talagang mag-solve ng kumplikadong problema.,0
219,"Nakakahiya na maging katoliko Mga suporter ni Lutangina, mga putangina nyo po nababaliw na po kayo",1
220,"May problema ba, may maitutulong ba ako sa 'yo?",0
221,Anong name ng siraulo at may mental disorder na nagpadala ng mga buang na mura ng mura tuwing madaling araw sa paligid ko? Para alam ko kung sinong ipapadala ko sa impyerno ng maaga. NAKAKAINIS AT NAKAKABWISET EH. NANANAHIMIK AKO TAPOS MURA NG MURA? DINEDEMONYO MO BA ANG UTAK KO?,1
222,"Ang kulit ng character mo, gusto ko 'yung skin.",0
223,filipinos may have really descended from monkeys no hate but their bone structure and teeth were accurate,1
224,mukha kang tae pakyu mamatay ka na,1
225,CATHOLICS FUCK YALL FOR DRAGGING THE PURA LUKA ISSUE GANYAN BA YUNG MGA SINASAMBA NYONG DYOS-DYOSAN? YALL R SO HAPPY FOR OTHER'S SUFFERING SO FUCK YALL,1
226,Kaya pala yung mgaat mga NPA na babae ang dudugyot mas mukhang lalake na,1
227,"Ang dami nang points mo, panalo ka na yata!",0
228,Sad to hear that. Hope everything gets better soon.,0
229,Ang dami nang nagbago sa ating komunidad ngayon.,0
230,"Chill lang, walang reason para mag-madali tayo.",0
231,"Ang bait ng mga kapitbahay natin, ang friendly.",0
232,"Putang ina mo kang matandang muslim na naka hijab na puti, lace na dress tas kita bra na black sa loob tas naka blue green crocs na may dalang box na sumakay sa teresa pa-boni. Tangina mo ka kingina mo panget mong haup ka pag nakita kita huhubaran kitang putang ina mo",1
233,Tangina talaga ng mga babaeng feeling gamer ampota. WALA NAMAN KAYONG AMBAG PURO PACUTE LANG KAYO NAG PAPANGET NYO NAMAN.,1
234,Wtf... Badjao.. Dugyot mo tangina ka kadiri,1
235,so don sa nag sasabing panget kami ULOL MGA AMERIKANANG HILAW MAPUTI LANG KAYO GAGO KALA NYO DI KO KAYO PAPATUSIN HAHA GAGO,1
236,"You got this, I know you can do it perfectly.",0
237,RIP INC mamatay lahat ng kulto ni manalo para may trabaho ako sa funeral home!,1
238,TANGINA YUNG MGA HINDU MGA INDIANO YUN DIBA? KAYA PALA AMBABAHO AMPUTA,1
239,Paki-confirm na lang po ang exact time ng meeting.,0
240,"panget ng mga tomboy sa pinas kumpara sa ibang bansa, masyado sila mukhang lalake",1
241,TINGIN MO MAGANDA KANA NYAN SA BLOND MONG BUHOK? ULOL MUKHA KANG BADJAO TANG INA MO!,1
242,Mga babae nga naman talaga maghahanap ng gwapo tapos pagniloko sasabihin lahat ng lalake pare-pareho ulol pakyu(di ko nilalahat ng babae wag maging defensive) isipin niyo yung mga lalaking seryoso nasa tabi niyo na maghahanap pa kayo ng manloloko ayos yan.,1
243,"Ang dami mong natulungan, ang selfless mo talaga.",0
244,bobo ka na ang taba mo pa. ang malas mo nmn sa buhay.,1
245,Story maker amp HAHAHAHAH utak mo pilay bobo kita kita nalang tayo mamaya,1
246,Ganda ka ganda ka? Ulol mukha ka ngang bombay ehðŸ˜‚ðŸ˜pakyu ka oi,1
247,ot mo mukha mo. Nognog ka na ih! Che. Sampalin ko ribcage mo.,1
248,TANGINA NITONG BADJAO SA JEEP BINIGYAN KO NG LIMA GALIT PA HAHHAHAHAHA ANG BAHO NA NGA CHOOSY PA AMPUTA,1
249,TANGINA MO ROOMMATE PILIT MONG ISINISIKSIK SA ILALIM NG KAMA YUNG SAPATOS KO NAGASGAS TULOY BWISIT KA. KUNG GUSTO MO MALUWAG SUBUKAN MO LABHAN YUNG KABUNDOK MONG LABADA NA SOBRANG BAHO NG SINGAW PATI TUWALYA KONG PANLIGO NAHAHAWA NA. MAPOSTURA KANG DUGYOT KA SOBRANG BAHO NAMAN NG PAA MO GAMIT KA FOOTSPRAY POTA KA,1
250,"bobo ka? Hahaha anyare sa kyrie mo? Pilay na talo pa, cavs pa bobo bakla hahaha walang kwenta",1
251,feeling pogi pakyu mukha kang pagong,1
252,"Sana makita kita soon, miss na kita sobra.",0
253,"Ang lamig ng tubig sa swimming pool, refreshing.",0
254,"Ang init ng yakap mo, nakakakilig talaga ako.",0
255,"Ang ganda ng kulay ng damit mo, bagay sa iyo.",0
256,"Nakakatuwa ang mga memes ngayon, tawa ako nang tawa.",0
257,Ang dami kong natutunan sa seminar kahapon.,0
258,Kadiri. Eew. Di ako papatol sa Badjao. Sa Malaking Ilong lang.,1
259,ge goodluck. bka makakita ka nnman ng badjao hahahâ€ HAHAHAHA badjao amp kadiri yung break ko eh bungi bungi huhuhu,1
260,"Hayop talaga puta. Palibhasa mukha kang aeta rin kaya ganon, kinginang lalaki to. Hayop kala mo di tao",1
261,Kadiri gago imagine fucking this bitch hindi ka na malilinis sa kahit anong ligo lmfao,1
262,TANGINA MO SAGAD SAGAD BAKLANG PANGET !!,1
263,â€œbenta mo na sakin yung soot mong damit sa md moâ€ ulol pakyu ka maemae ang panget panget naman nga sayo nito aagawin mo,1
264,"Uy, may bago ka bang kuwento o update sa buhay mo?",0
265,tanginamokag babae ka sana magsara butas ng kipay mo,1
266,MUKA TALAGANG MGA MONGOLOID MGA KOREANO ANO HAHAHAHHA MAGA PALAGI MUKA E,1
267,WTF ANG MGA HOE TEENAGERS NA TO BINOTO SI MARCOS DAHIL SA ANAK NIYA. ANG PAGIT NAMAN NGA PAKYU,1
268,"Nakaka-proud ka talaga, ipagpatuloy lang ang maganda.",0
269,"Nice one, good job sa presentation mo kanina!",0
270,Crush mo talaga chicser no? Yak. Ew -.- iba ang korea sa chicser. Duuh. Ang layo layo kaya mukhang igorot mga chicser eh haha,1
271,PUTEK ANO SA TINGIN MO BULAG BA YOU PWEDE BA TADYAKAN YOU PAKYU,1
272,"TANGA TALO KA TALAGA, BOBO MO NA NGA PANGET KA PA",1
273,May bago ka bang exciting na balita sa akin?,0
274,DI. PORKET BF KAYU SA CAMERA KAYU MAG LALANDIAN BOBO FLAT KA NAMAN SAKSAK MO SA BAGA MO YUNG BAYAG NG BF MONG TANGA,1
275,"So kind of you, thank you for your generosity.",0
276,Ew kadiri amputa plastik tangina lait ng lait ng ibang tao sa harap ko mas kalait lait nmn itsura nya badjao tanga,1
277,Sana maganda ang kalalabasan ng lahat ng ating pinaghirapan.,0
278,"LMAO, that's hilarious! Ang kulit talaga.",0
279,Punta ka pa sa parteng Divisoria daming mga baboy na bisaya at muslim. payabangan pa sila tapos ang bababoy. mga bastos at patapangan pa sila. Mga taga parola baseco. Papangit pa ng ichura mga bobong tanga na mangmang sobrang dami.,1
280,"Ang bilis ng delivery, thank you sa rider!",0
281,Payabang kala mo'y ang angas nya tignan. Ulol muka kang badjao jan sa kanto.,1
282,"Pahinga ka muna, deserve mo 'yan pagkatapos ng trabaho.",0
283,Ang sarap maglakad-lakad sa ganitong malamig na panahon.,0
284,Kaya ko pa intindihin kung menor de edad ka. kaso mas matanda pa kayo sakin. Ulol pasad boi sad boi ka pa dyan. Buti sana kung maputi at makinis yang betlog mo. I bet u barely even give attention to it ðŸ¤£. Fuck you & your friends parepareho kayong basura.,1
285,"Sa employee kanina na bobo at bingi na hindi makaintindi na yung headset nga ay mas mahina nga kesa dun sa isang part, mamatay ka na.",1
286,hoy mukha kang bilat tigiltigilan mo si avi tangina mo kung inggit pikit wag ganyan teh di ka rin naman papatulan niyan ulol ka ba ano calculus at debate tayo oh tangina mo ka makasabi ng pangit ikaw nga duwag nag tatago sa sayout kapal ng mukha mo ha,1
287,Sino ba ang next nating makakalaban sa round na 'to?,0
288,"Congrats sa lahat ng achievements mo, proud kami!",0
289,PAKYU MUKHA KANG NINJA TURTLE,1
290,toxic trait na talaga ng mga matatanda dito sa pinas ang maging body shamer shut up boomer,1
291,isang case ng red horse tatlo lang naman kami kinginang nognog talaga to amputa hahaha,1
292,wag kang feeling! kala mo naman kagandahan,1
293,Ay sa putang inamoka ang ingay ingay mo wala ka namang ambag sa inyo. Napakabobo putang inamo wala kang kwenta. Bobo ka muka kang aso na may galis bobo. Tang inamo palamunin bobo tanga tanga,1
294,tanga ang pangit mo pa rin,1
